# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-07-27 17:10:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = .//input/input_trivial_v2.json
# init = .//input/init.json
# random
#   seed = 4028370519 (Default)
# output
#   file = .//output/output_trivial_v2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15
# Adaptation terminated
# Step size = 0.0512064
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-509.814,0.849227,0.0512064,6,63,0,519.868,0.165016,1.43308,0.773376,0.426734,0.358271,1.06045,0.769422,3.24208,0.478843,0.903231,1.18102,1.60297,4.53548,0.559978,1.08908
-512.848,0.600642,0.0512064,5,63,0,525.792,0.704074,0.0513718,1.00322,0.504571,0.793908,0.275053,2.64152,1.26893,0.859397,1.11532,0.527268,4.37347,1.52487,0.891436,0.231678
-512.021,0.979674,0.0512064,6,63,0,515.72,0.614583,0.0476075,1.22503,0.518788,0.51563,0.393614,2.42597,1.51722,0.670998,1.23092,0.484839,3.42208,1.97668,1.05289,0.287203
-509.702,0.999979,0.0512064,6,63,0,515.768,0.745735,0.665338,0.290785,0.919534,0.893213,0.839731,0.754139,0.761699,0.667834,2.95947,0.950091,1.57612,1.16927,0.937206,4.10862
-510.211,0.993273,0.0512064,5,63,0,518.814,0.731553,0.904387,0.0782135,0.908033,1.002,0.425711,1.41902,0.772828,0.782465,2.09144,0.978041,1.76079,1.41409,0.931389,1.7935
-513.253,0.83213,0.0512064,6,63,0,520.273,0.13594,1.10864,0.312501,0.371781,0.618815,1.36662,1.74324,0.535425,0.698783,1.38831,1.52076,5.29392,0.380514,1.09127,2.40606
-508.739,0.94738,0.0512064,6,63,0,521.094,0.238713,0.219788,0.505121,0.836266,0.910356,0.243792,2.1427,1.15977,0.999314,1.18382,0.577784,2.64104,1.65275,1.11176,3.27302
-505.76,0.980004,0.0512064,6,63,0,515.025,0.505392,0.126278,0.454845,0.942667,0.558505,1.27441,0.520095,1.59144,1.05017,0.905258,1.99011,0.932429,1.95779,1.42681,2.30992
-514.292,0.740056,0.0512064,5,63,0,523.208,0.441102,0.0491167,0.554519,1.52307,0.654198,1.50644,0.228479,0.677741,1.55148,2.87572,2.24032,0.416495,0.934763,1.8912,6.10533
-506.445,0.996925,0.0512064,6,63,0,516.643,0.790541,0.535946,0.338123,0.897384,0.423083,1.26724,0.803344,1.31475,0.937143,0.794093,2.1633,1.41398,1.64343,0.908704,0.454132
-506.917,0.893417,0.0512064,5,63,0,512.969,0.423015,0.368874,0.286849,1.2934,0.447157,0.948091,0.573588,1.41724,1.38046,1.21143,1.5038,0.700728,1.68271,2.20185,1.15464
-506.608,0.998932,0.0512064,6,63,0,513.188,0.845362,0.488182,0.497054,0.539992,0.505442,0.834841,1.00952,1.47186,0.566477,1.40001,1.10387,2.4352,1.95454,0.541819,1.03693
-513.053,0.714059,0.0512064,5,63,0,516.93,0.271849,0.113658,0.408853,0.494127,1.9432,0.928681,0.347942,1.42102,0.747465,1.67772,2.22478,0.734054,2.43099,0.726344,0.247049
-515.002,0.91468,0.0512064,6,63,0,529.533,0.440473,0.3793,0.653254,0.70702,0.303773,1.37029,0.62211,3.87912,0.569261,0.397945,3.6754,0.616833,5.55882,0.576398,2.47382
-514.686,0.896625,0.0512064,5,31,0,522.776,0.639125,0.68113,0.575639,0.57539,0.136512,3.06244,0.444296,3.80742,0.36235,0.541618,3.85546,0.734837,4.36163,0.520315,1.89626
-512.216,1,0.0512064,6,63,0,519.509,0.287086,0.13871,0.141281,2.33036,0.72033,0.469371,1.62097,0.301832,1.99491,2.49345,0.445815,3.97063,0.344539,2.39412,0.6019
-513.788,0.898394,0.0512064,6,63,0,521.65,1.01206,0.174225,0.423806,1.57532,0.5851,0.334633,1.04898,0.931836,3.56325,0.622209,0.587301,2.01477,1.49725,5.94041,0.323474
-515.88,0.988417,0.0512064,6,63,0,523.42,0.9289,0.156065,0.449797,1.67139,0.67515,0.177384,1.34293,0.715784,4.67869,0.879999,0.520993,1.4653,1.04909,5.71088,0.186416
-517.268,0.954829,0.0512064,6,63,0,525.089,0.978833,0.222921,0.0708042,3.99751,0.448315,0.76561,0.97802,0.448582,1.63577,1.89544,0.79793,2.797,0.390116,3.13739,0.0931819
-514.821,0.846335,0.0512064,5,31,0,526.651,0.563165,0.525655,0.165145,1.90664,0.353027,0.750707,1.45754,0.319121,2.49157,1.02815,1.61142,1.70807,0.728732,1.81713,0.110474
-508.273,0.987537,0.0512064,6,63,0,518.88,0.435273,0.158154,1.31641,0.723476,0.476733,0.92161,0.538293,3.19665,0.728914,1.00345,1.28907,1.04131,2.7487,1.15568,2.95639
-511.311,0.982669,0.0512064,6,63,0,514.462,0.303977,0.0491573,0.915857,0.695205,0.576116,0.52363,1.40711,1.62477,0.85856,1.14856,0.827466,1.35015,2.63631,1.20159,1.64202
-511.498,0.947704,0.0512064,6,63,0,522.428,0.222098,0.104388,1.21195,1.01401,0.93058,0.355401,0.468891,2.57696,0.668074,2.69463,0.567922,1.01042,2.65611,1.56246,1.8053
-513.759,0.956136,0.0512064,5,31,0,523.307,0.761696,0.0678272,0.693628,1.54196,0.379625,0.728512,0.557062,2.58401,0.661664,1.33219,0.885911,0.937727,5.8928,0.889064,2.49666
-511.195,0.985336,0.0512064,6,63,0,521.843,0.20573,0.694887,0.641239,0.638459,0.582717,0.382824,1.69052,0.889443,1.72962,0.612918,1.07765,2.2939,1.32636,3.1829,1.16262
-506.055,0.961419,0.0512064,5,63,0,518.356,0.259983,0.622893,0.591553,0.777614,0.454369,0.567372,1.25002,1.51053,0.730539,1.46249,0.713604,2.58765,1.78714,0.808684,0.324851
-509.648,0.96184,0.0512064,6,63,0,512.253,0.582251,0.0935951,0.627225,1.89309,0.606705,0.978254,0.415453,0.768509,1.73099,1.95474,1.67751,0.53462,0.930329,3.15972,2.65187
