# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:19:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v21.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 263315374 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v21.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0489875
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-517.582,0.97906,0.0489875,5,31,0,524.164,0.926557,0.489409,0.441517,0.588982,0.917516,0.800744,0.984906,0.862389,0.718963,1.84603,1.44037,1.55837,1.17821,0.840889,0.872437
-524.702,0.953467,0.0489875,4,15,0,529.396,1.00261,1.16714,0.382027,0.543451,0.755983,0.964796,0.639465,0.871701,1.09637,2.05272,1.25761,0.990346,1.05296,1.67711,0.910648
-519.553,0.99938,0.0489875,4,15,0,530.719,0.749359,0.794377,0.540197,0.468907,0.811139,0.966565,0.969828,0.761803,0.82904,1.88281,1.47571,1.25897,0.965867,1.37374,1.57043
-517.447,0.834522,0.0489875,4,15,0,523.154,0.713713,0.636398,0.408343,0.545431,0.759869,0.840371,0.991553,0.905854,0.878865,1.59893,1.2963,1.63102,0.986419,1.34484,1.56269
-524.325,0.596201,0.0489875,4,31,0,529.113,1.18304,0.556559,0.52793,0.737519,0.763862,0.917861,0.815781,0.949716,1.34882,1.12927,1.35246,1.52447,1.35897,1.47078,2.4003
-520.189,1,0.0489875,4,31,0,529.267,1.00763,0.479987,0.46699,0.810951,0.674096,0.750571,1.18119,0.952617,0.834233,1.81679,1.09746,1.77283,1.02817,1.48103,0.782951
-520.299,0.892037,0.0489875,4,15,0,526.294,0.636094,1.01886,0.552228,0.620831,0.670705,0.709343,0.810591,1.21924,1.31803,0.871749,1.33062,1.44735,1.9089,1.23139,1.25831
-517.825,0.965175,0.0489875,5,31,0,524.892,0.549079,0.440312,0.727525,0.798431,0.487184,0.854314,0.903403,1.2522,0.706151,1.51566,1.32281,1.40341,1.27476,1.0939,0.941821
-519.719,0.814827,0.0489875,4,15,0,527.141,0.394851,0.486498,0.909199,0.708977,0.530532,0.767101,0.897313,1.06047,0.970163,1.37856,1.14739,1.63209,1.49715,1.05944,1.43274
-517.482,1,0.0489875,4,15,0,523.657,0.65161,0.412736,0.907944,0.729445,0.664227,0.597627,0.936029,1.25315,1.12909,1.00872,1.18939,1.41176,1.52939,1.68694,1.06335
-523.398,0.540983,0.0489875,4,15,0,529.146,0.682453,0.384859,0.677032,0.643763,0.801819,0.694362,0.823367,1.46815,0.890695,1.21046,1.48463,1.59672,0.988871,1.86603,0.790833
-516.609,0.976976,0.0489875,4,15,0,528.403,0.918049,0.416758,0.841422,0.66132,0.617568,0.948296,0.784742,1.0447,1.01236,1.25357,1.43429,1.43075,1.33215,1.42002,0.818588
-518.137,0.848112,0.0489875,4,15,0,523.183,0.724872,0.530542,0.613013,0.617172,0.489774,1.16546,0.693296,1.27811,0.933864,1.04237,1.20288,1.59033,1.59148,1.18071,0.801571
-522.144,0.939081,0.0489875,4,15,0,529.644,0.753152,0.743561,0.551049,0.683822,0.525212,0.817157,1.05179,0.771359,0.785601,2.01586,1.83172,1.06202,1.17248,0.875044,1.20909
-524.284,0.657504,0.0489875,4,15,0,531.498,0.590515,0.481363,0.557186,0.668803,0.820596,0.66007,0.69966,1.24743,0.968258,0.960732,0.997695,2.10763,1.41802,1.3946,0.905843
-517.211,1,0.0489875,4,15,0,525.594,0.799345,0.785929,0.548737,0.855683,0.5108,0.96717,0.881276,0.86134,0.994552,1.41864,1.56248,1.05112,1.28354,1.16285,1.00161
-522.492,0.836998,0.0489875,4,15,0,528.308,0.685938,0.993999,0.311222,0.734813,0.459932,0.864075,1.12708,0.848399,0.764213,1.61777,1.39781,1.29938,1.22935,1.02115,1.08728
-520.551,0.983847,0.0489875,5,31,0,532.267,0.812983,0.387635,1.13651,0.603238,0.683298,0.586025,0.807921,1.10968,1.12436,1.11584,1.37121,1.2383,1.44543,1.35931,0.847035
-519.004,0.946243,0.0489875,5,31,0,526.08,0.916877,0.655614,0.368079,0.752003,0.783852,0.702682,0.880039,0.863933,0.870435,1.73524,1.3644,0.990514,1.42585,1.27267,0.790988
-516.844,0.657953,0.0489875,4,15,0,525.882,0.65659,0.423383,0.59928,0.861728,0.643145,0.782316,0.924293,1.05127,1.13846,1.28145,1.00692,1.89841,1.1251,1.42523,0.923901
-521.448,0.851339,0.0489875,4,31,0,527.054,0.50819,0.808243,0.596614,0.475273,0.946924,0.865865,0.724291,1.06282,0.844449,1.29315,1.9986,0.855014,1.63807,1.31678,0.77124
-525.641,0.767602,0.0489875,5,31,0,533.283,0.968428,0.796323,0.761409,0.74903,0.518403,0.708099,1.36954,0.977007,1.07964,0.610737,1.49875,2.07928,1.47087,1.85808,0.683977
-530.289,0.973815,0.0489875,4,15,0,537.695,0.785891,0.57844,0.467265,0.714781,0.248962,0.86268,1.75089,0.932688,1.23828,0.668701,1.42351,2.06393,1.07737,1.69622,0.977877
