# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:35:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v32.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 264263438 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v32.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0233673
# Diagonal elements of inverse mass matrix:
# 0.0202527, 0.0281096, 0.0227927, 0.0258777, 0.0372263, 0.0201959, 0.0275456, 0.0225233, 0.0259972, 0.0370759, 0.0198086, 0.0281489, 0.0226974, 0.0266913, 0.0996633
-98622,0.994378,0.0233673,8,255,0,98632.4,1.25642,1.18605,1.12566,0.960244,1.58885,1.41251,1.31724,1.18061,0.997964,1.7368,1.48913,1.39422,1.22414,1.05261,0.826081
-98626.3,0.678951,0.0233673,8,255,0,98631.1,1.83943,1.12075,1.02109,0.974391,1.27739,1.95998,1.21549,1.10785,1.04606,1.34545,2.11106,1.27874,1.16876,1.09022,1.15859
-98625.4,0.831205,0.0233673,8,255,0,98637.8,1.23832,0.954066,0.904254,1.31675,1.7661,1.43354,1.04145,0.984182,1.38138,1.87691,1.51188,1.08908,1.03699,1.42918,0.865818
-98622.7,0.899234,0.0233673,8,255,0,98632.3,1.35003,1.22922,1.31544,1.03253,1.18131,1.46407,1.30121,1.44087,1.08482,1.26832,1.57766,1.34429,1.50219,1.1349,1.2408
-98624.9,0.872136,0.0233673,8,255,0,98629.2,1.35104,1.24901,0.817438,1.45088,1.32293,1.47944,1.32915,0.88967,1.54103,1.39367,1.61301,1.39725,0.916719,1.59146,1.03329
-98631.1,0.638001,0.0233673,7,127,0,98635.7,1.55312,1.43506,0.703941,1.38909,1.19906,1.73398,1.55303,0.751077,1.48588,1.27834,1.8488,1.59379,0.812619,1.53961,0.919231
-98632.5,0.95981,0.0233673,8,255,0,98639.8,0.738037,0.97745,1.87484,1.16861,1.59686,0.834213,1.05048,1.98839,1.24525,1.71114,0.892355,1.10465,2.11725,1.23859,0.910458
-98628.1,0.990085,0.0233673,8,255,0,98640.7,0.85402,1.3657,1.4004,1.31414,1.1764,0.977695,1.46891,1.48983,1.34705,1.2777,1.02978,1.62758,1.53308,1.39236,1.1454
-98626.8,0.970988,0.0233673,8,255,0,98636.3,0.933951,1.08355,0.855309,1.57048,1.8495,1.06441,1.20714,0.888154,1.65675,1.98254,1.13271,1.2932,0.936435,1.67037,0.844922
-98624.7,0.936395,0.0233673,8,255,0,98630.1,0.982143,1.15618,0.821595,1.44913,1.92101,1.08614,1.21566,0.903211,1.53146,2.05772,1.15283,1.28915,0.948516,1.59043,0.760623
-98621.7,0.895742,0.0233673,7,159,0,98630.4,1.1978,1.18121,1.13614,1.16196,1.37986,1.3305,1.26788,1.24854,1.2167,1.4988,1.39504,1.36966,1.26698,1.26201,1.40091
-98622.9,0.970905,0.0233673,7,175,0,98627.7,1.06975,1.40114,1.05967,1.18777,1.38507,1.18824,1.50805,1.11097,1.27886,1.44988,1.30565,1.58421,1.18367,1.27816,0.926465
-98622.5,0.95147,0.0233673,8,255,0,98626.2,0.988659,1.16201,1.16575,1.43033,1.36541,1.09566,1.26305,1.24142,1.49721,1.42437,1.21893,1.29478,1.32366,1.54384,1.2072
-98626.7,0.881082,0.0233673,8,255,0,98630.1,0.842596,1.03555,1.14899,1.33024,1.92233,0.96969,1.08737,1.28131,1.36682,2.05549,1.03008,1.13302,1.35316,1.461,0.917671
-98627.2,0.999856,0.0233673,8,255,0,98633.2,1.25783,1.21104,1.66405,1.04682,0.965016,1.42354,1.25252,1.87902,1.07785,1.06584,1.47665,1.32272,2.0215,1.09096,0.800864
-98626.9,0.80939,0.0233673,8,255,0,98634.3,1.03445,1.19658,1.69453,1.09317,1.12188,1.14055,1.35667,1.74166,1.19199,1.16483,1.22232,1.46378,1.82716,1.2194,1.26442
